run.number,date_time.run,process.count,random.seed,human.count,zombie.count,min.x,min.y,max.x,max.y,proc.per.x,proc.per.y,grid.buffer,init.time,stop.at,run.time
,15.04.2014 23:45:49,4,5,,,,,,,,,,,4,0
,17.04.2014 20:09:17,4,5,,,,,,,,,,,4,0
